event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n50_s2028_e3,50,2028,67,routine,AAI-CDOS,leo,sat0,1000.0,694.426,242.427,24.648,426.162,1.189,True,694.426,1.682069,1,0,True,False,False,2398.323,6,4,1965,88,4538.542
n50_s2028_e3,50,2028,67,routine,Independent Agents,uav,uav0,1000.0,817.183,18.821,5.444,0.0,792.918,True,817.183,1.979416,1,0,False,False,True,1531.115,3,3,1084,63,3852.335
n50_s2028_e3,50,2028,67,routine,One-Shot LLM,ground,sat0,1000.0,2824.022,2372.024,24.648,426.162,1.189,False,10809.794,26.183949,1,0,False,False,False,1114.841,0,1,573,21,1114.663
n50_s2028_e3,50,2028,67,routine,Single Domain,uav,uav0,1000.0,817.183,18.821,5.444,0.0,792.918,True,817.183,1.979416,1,0,False,False,False,5212.628,1,1,265,20,5212.499
n50_s2028_e4,50,2028,136,safety,AAI-CDOS,leo,sat0,150.0,254.426,53.895,24.797,174.782,0.952,False,10880.223,17.567582,3,3,False,True,False,7136.9,14,12,7746,265,12974.5
n50_s2028_e4,50,2028,136,safety,Independent Agents,ground,ground1,150.0,14762.107,14738.473,4.593,0.0,19.042,False,10880.223,17.567582,1,0,False,False,True,1040.464,3,3,1131,61,3012.427
n50_s2028_e4,50,2028,136,safety,One-Shot LLM,ground,ground1,150.0,14762.107,14738.473,4.593,0.0,19.042,False,10880.223,17.567582,1,0,False,False,False,1040.637,0,1,574,21,1040.465
n50_s2028_e4,50,2028,136,safety,Single Domain,leo,sat0,150.0,254.426,53.895,24.797,174.782,0.952,False,10880.223,17.567582,1,0,False,False,False,902.926,1,1,266,19,902.788
n50_s2028_e5,50,2028,148,cooperative,AAI-CDOS,uav,ground1,350.0,226.68,64.875,9.628,128.222,23.956,True,226.68,0.053689,2,1,True,False,False,6814.301,10,8,5223,181,10377.841
n50_s2028_e5,50,2028,148,cooperative,Independent Agents,uav,ground0,350.0,229.079,64.875,9.628,130.621,23.956,True,229.079,0.054257,1,0,False,False,True,1000.492,3,3,1180,61,2612.11
